CDT	ID	PT	WT	TID
2:21	1	1:5	1:6	6
3:10	18	3:8	0:1	11
3:13	3	2:8	0:13	1
3:14	10	2:14	0:20	7
3:14	13	2:17	0:3	11
3:17	6	2:10	0:22	11
3:20	2	2:5	0:12	11
3:20	9	2:14	0:15	1
4:0	12	2:16	0:15	1
4:1	19	3:12	0:9	8
4:3	7	2:12	0:17	11
4:6	16	3:6	0:12	8
4:13	21	3:14	0:9	2
4:17	22	3:17	0:12	2
4:19	20	3:13	0:16	9
4:19	26	3:20	0:11	2
5:1	25	3:18	0:15	9
5:9	27	3:21	0:19	3
5:12	30	4:5	1:0	10
5:12	32	4:9	0:14	12
5:13	40	4:17	0:2	12
5:15	47	5:7	0:1	12
5:17	34	4:11	0:11	3
5:17	44	4:22	0:9	12
5:22	36	4:14	0:22	4
5:23	41	4:18	0:22	5
6:1	8	2:13	2:17	12
6:1	35	4:11	0:18	3
6:8	42	4:18	1:2	6
6:10	48	5:7	1:0	2
6:14	46	5:7	0:22	1
6:16	55	5:20	0:18	8
6:18	45	5:7	0:14	1
6:20	56	5:22	0:17	8
6:20	54	5:19	0:17	7
7:5	53	5:18	0:11	7
7:11	61	6:15	0:14	9
7:19	62	6:16	0:17	5
7:20	59	6:13	0:9	9
7:21	57	6:11	0:18	13
8:0	63	6:17	0:4	13
8:1	65	6:17	0:20	10
8:1	64	6:17	0:21	5
8:3	68	6:21	0:21	6
8:6	50	5:10	1:8	13
8:9	58	6:12	0:17	5
8:10	69	7:5	0:3	13
8:11	71	7:9	0:20	8
8:13	70	7:6	0:23	4
8:17	15	3:5	4:9	13
9:0	74	7:10	1:3	7
9:1	76	7:16	0:21	3
9:1	79	7:18	0:23	2
9:9	75	7:12	1:9	9
9:10	84	8:12	0:9	1
9:11	77	7:18	1:11	10
9:12	92	8:18	0:14	14
9:14	78	7:18	1:13	6
9:14	88	8:14	0:15	1
9:17	81	8:5	0:14	1
9:18	86	8:13	0:23	8
9:18	83	8:10	0:7	14
9:21	89	8:15	0:4	14
10:0	73	7:10	1:12	14
10:3	91	8:17	1:1	7
10:6	85	8:12	0:17	14
10:8	95	9:9	0:10	5
10:9	99	9:14	0:6	5
10:15	97	9:10	1:0	10
10:16	100	9:16	0:13	5
10:16	93	8:20	1:9	9
10:19	103	9:19	0:23	2
10:21	101	9:18	0:22	4
11:0	109	10:10	0:9	6
11:2	112	10:13	0:3	11
11:8	108	10:7	0:9	6
11:9	115	10:14	0:9	11
11:12	110	10:11	0:18	8
11:14	117	10:15	0:15	8
11:14	113	10:13	0:23	1
11:16	111	10:13	0:20	3
11:18	98	9:11	0:8	11
11:23	105	9:21	0:8	11
12:6	107	9:22	0:14	11
12:11	127	11:16	0:13	7
12:13	119	11:7	0:22	5
12:13	120	11:9	1:0	2
12:18	126	11:11	0:8	7
12:19	121	11:9	1:1	12
13:1	125	11:11	0:6	12
13:8	128	11:20	0:9	12
13:8	129	11:21	1:1	4
13:10	5	2:10	10:21	13
13:11	94	9:6	3:17	13
13:11	114	10:14	0:18	12
13:16	118	10:21	2:8	13
13:17	60	6:14	6:0	12
13:22	52	5:12	7:10	13
14:0	123	11:10	1:7	13
....................................
....................................
Cargos: 99 [N: 33, S: 31, V: 35]
Cargo Avg Wait: 1:0
Auto-promoted Cargos: 0% from total 33
Trucks: 14 [N: 5, S: 5, V: 4]
