CDT	ID	PT	WT	TID
1:15	11	1:10	0:2	7
1:17	3	1:2	0:8	7
1:19	9	1:9	0:4	7
1:22	7	1:5	0:11	3
2:9	5	1:17	0:13	4
2:12	2	1:20	0:13	5
2:20	21	2:2	0:11	6
2:20	10	1:19	0:15	1
3:0	6	1:21	0:12	8
3:1	4	1:23	0:19	2
3:7	20	2:0	0:15	8
3:12	13	2:12	0:7	8
3:17	24	3:6	0:4	9
3:18	29	3:4	0:7	9
3:18	15	2:17	0:17	1
3:19	23	3:0	0:12	9
3:20	17	2:15	0:20	3
4:3	30	3:16	0:7	10
4:6	26	3:5	0:10	10
4:7	25	3:17	0:1	10
4:14	27	3:13	0:16	2
4:17	28	3:23	0:12	1
5:1	36	4:9	0:10	4
5:4	41	4:16	0:6	7
5:11	35	4:4	0:7	7
5:12	38	4:19	0:11	8
5:13	51	5:8	0:1	8
5:15	1	1:7	3:7	7
5:15	40	4:16	0:16	2
5:15	37	4:9	0:20	5
5:18	32	4:14	0:15	8
5:19	39	4:23	0:12	6
5:21	46	5:7	0:10	1
5:22	47	5:5	0:11	3
6:7	57	6:0	0:5	9
6:16	18	2:23	3:0	9
6:18	49	5:16	0:19	4
6:20	45	5:16	0:20	2
6:23	33	4:18	0:22	9
7:0	50	5:20	0:20	5
7:10	43	5:21	0:23	1
7:11	60	6:11	0:4	10
7:14	58	6:0	1:9	3
7:16	55	6:0	1:8	2
7:17	22	3:23	2:21	10
7:17	48	5:20	1:9	6
7:23	56	6:23	0:6	10
8:0	52	6:23	0:21	8
8:0	53	6:8	1:6	7
8:2	64	7:16	0:2	7
8:4	61	6:9	1:8	4
8:5	70	7:6	0:9	7
8:11	59	6:18	1:11	5
8:18	66	7:8	1:6	6
8:21	67	7:18	1:0	4
8:21	68	7:0	1:12	3
9:6	81	8:2	0:12	1
9:13	71	7:14	1:7	1
9:14	69	7:23	1:10	6
9:15	63	7:21	1:8	5
9:20	62	7:16	0:13	1
9:22	73	8:0	1:15	3
10:1	65	7:18	0:16	1
10:1	76	8:4	1:15	4
10:1	78	8:16	0:20	2
10:3	91	9:0	0:9	9
10:10	90	9:16	0:7	9
10:12	72	8:10	1:19	6
10:14	86	9:7	0:22	8
10:15	83	9:3	0:8	9
10:17	74	8:10	2:0	5
10:18	87	9:17	0:20	2
11:1	75	8:13	2:5	3
11:11	80	8:22	2:10	6
11:11	94	10:11	0:7	10
11:14	79	8:17	2:12	4
11:19	82	9:14	0:21	10
11:20	98	10:18	0:18	1
11:23	89	9:10	2:6	5
12:1	110	11:7	0:3	7
12:1	101	10:4	1:15	3
12:2	100	10:20	0:9	10
12:6	107	11:11	0:5	7
12:10	96	10:11	1:20	4
12:10	97	10:9	1:20	6
12:12	104	11:23	0:11	1
12:12	106	11:9	0:20	2
12:15	102	11:14	0:8	7
12:20	119	12:2	0:5	8
12:20	95	10:19	1:17	5
13:1	118	12:9	0:14	10
13:2	92	10:18	1:18	8
13:3	105	11:23	0:22	9
13:4	103	11:10	1:9	3
13:8	84	9:16	3:0	8
13:11	108	11:11	1:18	6
13:16	109	11:20	1:16	5
13:16	111	11:12	1:21	4
13:18	113	12:14	0:20	7
13:21	124	13:11	0:7	9
13:23	121	12:23	0:6	2
13:23	120	12:19	0:23	3
13:23	114	12:19	0:20	10
14:4	115	12:22	0:11	2
14:9	123	13:16	0:5	2
14:14	130	13:13	0:22	8
14:15	131	13:2	1:7	4
14:15	117	12:20	1:9	6
14:16	129	13:5	0:9	2
14:17	127	13:20	0:15	1
14:20	126	13:18	0:11	8
14:20	128	13:13	1:1	5
15:0	125	13:14	0:19	8
15:8	135	14:11	0:20	1
15:11	132	14:12	0:17	3
15:12	139	14:0	1:5	2
15:12	133	14:0	0:22	7
15:14	134	14:20	0:15	4
15:14	140	14:17	0:16	6
15:17	122	13:15	1:14	7
15:21	116	12:17	1:22	7
16:2	142	15:7	0:16	3
16:3	146	15:13	0:7	9
16:5	147	15:9	0:1	9
16:6	136	14:22	0:21	5
16:7	99	10:20	4:11	9
16:11	149	15:10	0:13	10
16:17	148	15:19	0:10	10
16:18	145	15:12	0:22	6
16:20	143	15:21	0:16	1
16:22	141	14:10	1:22	10
16:23	144	15:20	0:21	4
....................................
....................................
Cargos: 132 [N: 26, S: 47, V: 59]
Cargo Avg Wait: 0:22
Auto-promoted Cargos: 2.17391% from total 46
Trucks: 10 [N: 2, S: 4, V: 4]
Avg Active time: 36.366% of total time 16:4
Avg utilization: 16.7329%
