CDT	ID	PT	WT	TID
1:22	5	1:3	0:6	8
1:23	3	1:2	0:8	1
2:6	7	1:2	0:11	1
2:8	2	1:3	0:13	8
2:10	1	1:6	0:10	1
2:10	10	1:1	1:5	9
2:13	8	1:22	0:7	9
2:13	6	1:22	0:10	2
2:14	11	1:11	0:22	4
2:18	4	1:13	0:10	2
2:23	12	2:9	0:9	8
2:23	9	1:20	0:9	2
3:4	19	2:12	0:7	8
3:4	14	2:17	0:5	3
3:10	20	2:8	0:4	3
3:11	15	2:8	0:23	5
3:15	21	2:12	0:4	3
3:20	25	3:2	0:9	9
3:22	18	2:8	0:21	9
3:22	16	2:17	0:21	6
4:7	31	3:12	0:2	1
4:13	24	3:12	0:21	8
4:14	27	3:7	1:0	4
4:15	30	3:4	1:1	7
4:17	28	3:16	0:7	1
4:20	22	3:17	0:12	1
4:21	26	3:4	0:16	7
4:23	29	3:9	1:5	5
5:2	40	4:1	0:22	6
5:3	36	4:10	0:10	9
5:8	39	4:2	0:11	9
5:13	34	4:22	0:7	8
5:15	38	4:12	0:3	2
5:20	35	4:23	0:10	8
5:20	37	4:9	1:1	4
5:23	33	4:20	0:9	2
6:0	41	4:13	1:1	7
6:3	50	5:10	0:2	2
6:10	43	5:14	0:3	9
6:13	42	5:2	1:3	5
6:16	48	5:23	0:6	9
6:23	51	5:5	1:7	6
7:0	44	5:11	1:3	3
7:4	46	5:9	1:11	4
7:6	60	6:1	0:22	1
7:10	52	6:22	0:7	8
7:18	56	6:11	0:7	8
7:23	54	6:5	1:6	7
8:1	61	6:13	1:9	6
8:2	55	6:23	0:20	2
8:3	32	4:21	2:16	9
8:5	65	7:16	0:1	9
8:7	59	6:8	1:11	5
8:8	57	6:14	0:19	2
8:15	53	6:20	0:18	2
8:20	67	7:0	1:12	8
9:0	68	7:3	1:14	9
9:3	73	8:6	0:1	3
9:5	71	7:23	1:0	4
9:11	78	8:16	0:5	3
9:16	76	8:4	0:8	3
9:16	63	7:6	2:5	2
9:17	64	7:4	2:1	1
9:21	69	7:14	2:1	8
10:0	66	7:10	2:2	7
10:7	82	9:17	0:6	7
10:9	74	8:14	1:8	9
10:13	79	8:7	1:23	6
10:16	87	9:2	1:13	4
10:16	92	10:12	0:2	8
10:16	49	5:17	3:18	7
10:19	97	10:9	0:2	8
10:19	77	8:16	1:17	3
10:21	89	9:5	0:9	7
10:21	91	9:3	1:9	2
11:0	84	9:14	1:4	1
11:0	75	8:7	2:6	5
11:5	90	9:14	1:7	6
11:7	85	9:15	1:15	8
11:10	99	10:12	0:8	9
11:11	101	10:1	1:5	4
11:13	102	11:1	0:4	9
11:18	98	10:5	1:11	7
11:23	111	11:6	0:2	2
12:1	94	10:4	1:10	5
12:3	93	10:22	0:14	2
