CDT	ID	PT	WT	TID
2:3	10	1:3	0:7	7
2:7	1	1:13	0:3	7
2:13	7	1:1	0:20	7
2:18	19	2:1	0:6	8
2:20	3	1:3	1:6	8
3:0	13	2:3	0:10	8
3:12	22	3:9	0:2	9
3:13	4	1:1	2:8	3
3:18	16	2:19	0:10	9
3:20	2	1:2	2:12	4
3:21	5	1:3	2:3	9
4:9	25	3:21	0:8	7
4:12	27	3:11	0:5	7
4:13	8	1:20	2:9	5
4:14	29	3:10	0:8	7
4:20	18	2:3	2:10	6
5:2	12	2:10	2:10	3
5:2	28	3:22	0:15	1
5:5	15	2:20	2:3	4
5:8	48	5:2	0:3	8
5:9	37	4:12	0:7	1
5:11	23	3:12	0:20	1
5:13	14	2:14	1:16	1
5:16	31	3:23	0:14	8
5:19	32	4:16	0:1	8
6:10	41	4:0	2:6	5
6:11	43	5:5	0:11	9
6:15	33	4:2	2:8	6
6:16	36	4:20	1:1	9
6:23	45	5:5	1:0	9
7:12	57	6:14	0:8	7
7:17	38	4:22	1:20	3
7:17	53	6:11	0:18	7
7:20	47	5:22	0:10	7
7:22	46	5:13	1:16	3
8:4	54	6:13	1:0	3
8:8	39	4:18	1:22	3
8:10	52	6:6	1:3	3
8:11	67	7:18	0:5	8
8:12	51	5:11	1:9	3
8:15	59	6:1	1:7	3
8:18	70	7:20	0:10	8
9:0	49	5:19	1:16	8
9:12	71	7:1	1:19	4
9:12	73	8:10	0:7	9
9:14	61	6:19	1:11	4
9:17	42	5:18	3:19	7
9:17	75	8:19	0:10	9
9:18	68	7:19	1:19	7
9:20	63	7:12	1:17	4
9:22	74	8:0	1:6	4
9:23	69	7:12	1:11	9
10:1	62	7:9	1:13	4
10:1	86	9:0	0:12	7
10:6	60	6:21	1:18	4
10:11	88	9:19	0:1	8
10:11	56	6:21	1:14	4
10:16	79	8:8	2:5	5
10:17	90	9:23	0:6	8
10:20	72	8:13	2:3	6
10:22	78	8:0	2:9	8
11:2	95	10:12	0:4	9
11:8	65	7:21	2:23	9
11:10	80	8:2	2:20	9
11:16	111	11:2	0:4	7
11:20	99	10:17	0:17	7
11:21	83	9:6	2:1	7
12:2	110	11:15	0:7	8
12:3	89	9:12	2:8	3
12:5	82	9:22	1:14	8
12:5	91	9:18	2:4	4
12:11	76	8:8	3:9	8
12:20	113	12:1	0:4	9
12:22	85	9:22	2:13	5
13:3	97	10:7	2:9	9
13:7	112	12:3	0:6	9
13:13	93	10:18	1:22	6
13:15	121	12:13	0:10	7
13:16	92	10:19	1:23	6
13:19	119	12:11	0:22	6
13:21	103	11:22	1:8	6
13:22	114	12:22	0:7	7
14:1	106	11:14	1:15	6
14:3	116	12:17	0:16	7
14:4	117	12:5	1:3	6
14:9	94	10:21	2:1	6
14:12	128	13:18	0:11	8
14:17	108	11:17	2:5	8
14:22	120	12:5	2:4	8
15:10	126	13:2	1:8	3
15:17	131	13:21	1:8	3
15:18	133	14:11	0:6	9
15:20	129	13:7	1:7	3
15:23	127	13:9	1:8	3
16:1	124	13:17	2:5	7
16:1	151	15:4	0:7	9
16:4	147	15:8	0:6	7
16:5	136	14:18	0:3	9
16:6	115	12:19	1:10	3
16:9	122	13:3	1:9	3
16:11	141	14:11	1:8	7
16:13	130	13:16	1:3	3
16:15	161	16:6	0:2	8
16:15	144	15:5	1:0	4
16:18	132	14:13	2:2	2
16:21	135	14:18	0:22	4
16:22	104	11:12	4:18	8
17:1	149	15:7	1:1	4
17:5	157	16:9	0:5	8
17:6	138	14:11	2:1	2
17:7	142	15:3	0:19	4
17:11	134	14:8	1:3	4
17:13	150	15:8	1:2	4
17:17	160	16:23	0:6	9
17:17	137	14:16	0:23	4
17:22	164	17:9	0:5	9
18:4	153	16:20	0:15	9
18:4	146	15:15	2:7	5
18:13	145	15:19	2:10	6
18:19	148	15:23	2:7	7
19:1	176	18:7	0:5	7
19:9	102	11:5	6:17	7
19:21	163	17:14	1:15	3
20:2	184	19:0	0:10	8
20:7	183	19:15	0:5	8
20:7	166	17:13	1:9	3
20:10	177	18:1	0:15	8
20:12	167	17:19	1:15	3
20:17	180	18:11	1:5	3
20:19	172	18:7	1:6	3
20:20	179	18:7	1:4	3
21:0	158	16:23	1:16	3
21:0	169	17:19	2:14	9
21:6	194	20:14	0:6	9
21:13	182	19:21	0:8	9
21:20	189	19:1	2:10	1
21:21	198	20:20	0:18	7
21:22	188	19:4	2:8	4
22:3	178	18:17	2:12	7
22:7	181	18:20	2:12	7
22:9	190	19:12	2:9	5
22:10	191	19:23	2:6	8
22:12	174	18:11	3:12	8
22:12	187	19:15	2:14	6
22:20	143	15:4	6:18	8
23:0	197	20:0	2:17	4
23:0	186	19:21	2:15	3
23:4	173	18:19	3:22	9
23:5	195	20:20	2:3	5
23:10	200	20:18	2:3	9
23:15	24	3:9	19:2	9
24:2	98	10:12	12:23	7
24:4	40	4:13	18:16	7
24:12	30	3:21	19:21	7
24:22	64	7:15	17:0	8
