CDT	ID	PT	WT	TID
2:17	11	1:13	0:16	1
3:0	12	2:3	0:7	1
3:12	24	3:6	0:5	1
3:15	6	1:7	1:8	2
3:19	1	1:11	1:7	2
3:20	17	2:20	0:14	1
4:4	8	1:11	1:3	4
4:6	4	1:14	1:15	2
4:10	7	1:3	2:10	4
4:13	5	1:8	1:11	4
4:13	40	4:5	0:2	1
4:13	13	2:14	0:20	2
4:17	14	2:6	2:2	1
4:17	2	1:2	1:15	4
4:20	20	2:11	0:20	4
4:20	18	2:18	0:21	3
5:1	3	1:21	1:8	4
5:3	25	3:12	0:8	4
5:3	27	3:10	0:19	3
5:8	22	3:11	0:23	3
5:10	10	1:18	2:0	4
5:12	23	3:15	1:17	2
5:15	45	5:6	0:2	1
5:15	21	2:19	1:3	3
5:21	46	5:4	0:9	1
6:12	26	3:16	2:16	3
6:14	28	3:17	2:18	2
6:18	32	4:5	2:5	1
7:15	49	5:1	2:8	1
7:15	36	4:2	3:6	2
7:19	30	3:22	3:8	3
7:20	70	7:0	0:6	4
8:4	61	6:18	0:19	4
8:7	50	5:9	0:13	4
8:9	71	7:10	0:5	4
8:14	33	4:15	2:3	4
8:16	52	6:4	2:6	1
8:17	53	6:8	0:2	4
8:19	39	4:6	4:2	2
8:22	67	7:12	0:17	1
9:0	35	4:23	1:6	4
9:4	38	4:9	2:4	4
9:11	34	4:20	3:21	3
9:21	85	9:1	0:12	1
10:2	42	5:4	4:9	2
10:4	73	8:17	0:15	1
10:13	44	5:9	4:22	3
10:20	79	8:7	2:3	4
11:3	47	5:9	5:5	4
11:9	37	4:18	5:11	4
11:10	81	8:21	2:0	1
11:12	69	7:19	2:2	4
11:15	60	6:4	4:18	2
11:16	76	8:12	2:5	4
11:19	64	7:18	2:13	4
11:21	63	7:16	2:2	4
11:23	54	6:10	3:12	4
12:5	72	8:11	3:10	3
12:13	83	9:2	2:12	3
12:14	29	3:10	8:20	1
12:19	15	2:14	9:15	1
12:20	31	3:13	8:0	3
12:23	86	9:3	2:4	3
13:1	55	6:6	6:6	2
14:5	57	6:7	7:9	3
14:10	59	6:22	6:23	2
15:15	66	7:2	8:3	3
16:1	65	7:15	7:22	2
16:16	68	7:17	8:14	3
17:13	62	7:18	9:3	2
17:21	77	8:9	8:23	3
18:10	80	8:9	9:21	2
19:4	78	8:10	10:4	3
19:20	75	8:16	10:17	2
20:3	74	8:21	11:1	3
....................................
....................................
Cargos: 75 [N: 7, S: 30, V: 38]
Cargo Avg Wait: 3:5
Auto-promoted Cargos: 37.5% from total 24
Trucks: 4 [N: 1, S: 2, V: 1]
Avg Active time: 43.8819% of total time 19:18
Avg utilization: 27.0937%
