CDT	ID	PT	WT	TID
2:8	19	2:6	0:1	9
2:10	7	1:18	0:5	9
2:14	2	1:1	0:20	9
2:19	4	1:1	1:4	7
2:21	8	1:11	0:18	9
2:22	10	1:16	0:16	7
3:5	9	1:23	0:14	7
3:11	15	2:17	0:12	10
3:13	1	1:23	1:0	1
3:17	3	1:22	0:19	1
3:18	20	2:8	0:5	10
3:20	18	2:4	0:14	10
3:22	21	2:19	0:10	1
4:1	14	2:23	0:17	8
4:2	11	1:23	0:18	10
4:6	5	1:20	0:18	1
4:9	22	3:9	0:12	8
4:13	32	4:0	0:11	7
4:15	17	2:18	0:18	8
4:16	39	4:1	0:4	11
4:16	29	3:13	0:17	7
4:21	30	3:16	0:5	11
4:22	26	3:19	0:15	2
5:0	23	3:17	0:16	7
5:4	25	3:18	0:14	2
5:4	35	4:5	0:6	11
5:8	28	3:15	1:0	11
5:10	36	4:7	0:10	9
5:10	33	4:3	0:17	2
5:11	49	5:8	0:1	9
5:15	38	4:18	0:3	9
5:17	34	4:9	0:20	8
5:18	31	3:19	0:20	2
6:1	6	1:8	3:21	9
6:2	41	4:22	0:11	8
6:7	54	6:4	0:2	10
6:7	37	4:23	0:12	8
6:13	44	5:23	0:6	10
6:17	48	5:11	0:4	10
6:17	42	5:23	0:13	7
6:22	43	5:5	1:3	7
7:0	45	5:3	1:2	7
7:1	47	5:13	0:8	10
7:11	27	3:3	4:2	11
7:19	53	6:7	0:7	11
7:22	55	6:7	0:8	11
8:1	59	6:18	0:22	8
8:5	66	7:5	0:14	8
8:6	52	6:16	0:6	11
8:7	67	7:22	0:1	9
8:11	57	6:17	0:17	8
8:12	63	7:19	0:10	9
8:17	62	7:12	0:6	9
8:19	71	7:8	0:7	9
8:19	70	7:7	1:0	7
8:21	65	7:5	1:0	3
9:0	78	8:1	0:15	7
9:4	60	6:6	1:15	3
9:7	83	9:2	0:3	10
9:11	69	7:22	0:16	7
9:12	68	7:18	0:18	3
9:13	76	8:11	0:6	10
9:16	79	8:10	0:2	10
9:19	75	8:7	0:23	8
9:21	80	8:18	0:4	10
9:23	72	8:2	0:21	8
10:7	74	8:11	0:23	8
10:13	89	9:4	0:9	11
10:20	16	2:11	7:18	11
11:0	85	9:10	1:5	7
11:3	86	9:14	0:6	11
11:5	73	8:14	1:18	7
11:9	90	9:3	0:19	11
11:12	77	8:11	1:18	7
11:16	99	10:10	0:19	4
11:18	87	9:17	1:3	8
11:22	93	10:15	0:19	4
11:23	106	11:2	0:7	9
11:23	82	9:21	1:8	8
12:2	91	9:2	1:21	4
12:6	96	10:16	0:5	9
12:9	81	8:16	2:4	4
12:10	97	10:6	1:6	8
12:15	92	10:7	0:22	9
12:16	104	11:18	0:1	9
12:20	95	10:16	1:23	7
12:23	100	10:10	2:5	10
13:2	98	10:10	2:1	7
13:3	51	5:17	7:1	10
13:9	109	11:16	0:19	10
13:12	94	10:9	1:20	7
13:15	102	11:8	2:1	8
13:19	105	11:7	0:22	10
13:20	111	11:1	2:4	8
14:0	110	11:5	1:12	5
14:2	108	11:12	1:6	5
14:4	101	10:16	2:7	8
14:9	122	13:15	0:7	6
14:10	113	12:11	1:1	5
14:12	119	12:23	0:18	6
14:18	116	12:8	0:21	5
14:20	121	12:20	1:17	7
15:7	107	11:14	2:15	7
15:8	103	11:23	2:7	7
15:14	125	13:10	1:19	8
15:16	132	14:5	0:5	11
15:20	114	12:22	1:20	8
15:21	138	14:21	0:8	11
15:22	117	12:21	1:18	8
16:3	118	12:23	2:12	11
16:7	137	14:16	0:2	11
16:9	123	13:10	2:19	7
16:9	150	15:6	0:16	1
16:12	130	13:10	2:12	7
16:13	143	15:18	0:1	9
16:16	140	14:4	1:8	1
16:17	149	15:15	0:2	9
16:17	128	13:10	2:10	7
17:1	152	16:1	0:11	9
17:3	141	14:3	2:18	8
17:3	133	14:6	1:12	1
17:7	142	15:6	0:23	9
17:11	144	15:6	0:23	1
17:12	166	17:2	0:3	10
17:14	124	13:11	3:3	8
17:16	147	15:18	1:2	2
17:18	131	13:17	2:23	8
17:18	129	13:13	3:4	10
17:22	154	16:12	0:8	10
17:23	134	14:19	2:14	7
18:0	160	16:7	0:22	2
18:1	155	16:4	1:6	7
18:5	135	14:21	2:13	10
18:6	145	15:16	0:21	2
18:10	153	16:8	1:9	7
18:12	161	16:18	0:12	2
18:19	181	18:9	0:5	11
19:0	163	17:11	0:5	11
19:2	169	17:1	1:13	8
19:5	171	17:19	0:10	11
19:7	156	16:10	1:22	8
19:14	162	17:11	0:11	11
19:17	177	18:0	1:8	7
19:17	170	17:13	1:7	8
19:18	175	18:13	0:16	3
19:20	179	18:17	0:3	9
19:22	157	16:22	1:19	3
19:23	178	18:11	1:1	7
20:0	191	19:10	0:2	9
20:1	173	18:3	0:17	3
20:2	164	17:22	1:7	7
20:6	186	19:0	0:8	9
20:8	185	19:0	0:8	3
20:11	176	18:12	1:4	9
20:21	168	17:11	2:18	10
21:1	200	20:11	0:3	10
21:9	183	19:6	0:17	10
21:12	190	19:6	1:2	10
21:16	193	20:6	1:0	8
21:18	189	19:20	1:1	11
21:21	204	21:1	0:4	11
21:21	194	20:23	0:16	4
22:1	174	18:21	2:2	8
22:3	195	20:16	0:15	8
22:3	201	20:2	0:19	4
22:6	206	21:8	0:6	11
22:11	187	19:14	1:4	11
22:12	198	20:11	1:0	4
22:18	196	20:3	1:2	4
22:21	215	22:15	0:3	9
23:1	207	21:17	0:4	9
23:6	217	22:4	0:4	9
23:9	214	22:12	0:2	9
24:5	223	23:7	0:14	7
24:8	213	22:2	1:13	7
24:11	225	23:16	0:13	10
24:14	208	21:17	1:19	6
24:18	192	20:23	2:13	7
24:21	220	22:22	0:19	10
25:1	228	23:20	0:20	8
25:1	210	21:23	1:23	6
25:4	216	22:12	0:17	10
25:6	203	21:17	2:0	6
25:8	231	23:8	0:21	8
25:11	205	21:0	2:11	10
25:14	229	23:2	1:3	6
25:15	241	24:13	0:4	11
25:15	230	23:8	1:2	8
25:20	250	25:1	0:4	11
26:0	180	18:19	5:14	11
26:0	236	24:5	1:6	7
26:9	239	24:16	1:0	7
26:9	240	24:22	0:13	11
26:12	242	25:1	1:9	8
26:12	234	24:16	1:1	7
26:14	233	24:20	1:12	8
26:17	227	23:23	2:6	9
26:22	258	26:5	0:4	9
26:22	235	24:19	1:12	8
27:6	246	25:17	0:6	9
27:11	255	26:1	0:12	9
27:19	256	26:19	0:4	10
27:22	264	27:13	0:2	10
28:0	257	26:16	1:1	7
28:6	248	25:12	1:17	7
28:8	238	24:17	2:13	10
28:14	261	26:13	0:21	7
28:15	259	26:17	0:20	10
28:16	265	27:6	0:23	8
28:22	268	27:7	1:3	5
29:0	269	27:2	0:20	8
29:5	263	27:22	0:18	5
29:6	270	27:23	0:6	11
29:8	266	27:11	1:0	8
29:10	274	28:17	0:3	11
29:14	275	28:20	0:17	7
29:15	253	26:19	1:11	5
29:17	262	27:23	0:19	5
29:17	267	27:18	0:18	11
29:18	286	29:4	0:1	11
30:0	277	28:17	0:12	7
30:9	276	28:20	0:16	7
30:10	282	29:6	1:1	8
30:14	283	29:1	1:4	8
30:18	288	29:6	0:9	9
30:21	287	29:1	0:22	8
30:22	300	30:0	0:5	9
31:6	209	21:17	8:18	9
31:13	299	30:14	0:6	10
31:13	148	15:18	14:4	9
31:16	188	19:11	11:20	10
31:17	291	29:15	1:14	7
31:18	199	20:18	9:19	10
31:22	273	28:4	3:8	11
31:23	284	29:13	1:9	7
32:2	120	12:22	18:13	11
32:2	292	30:21	0:8	10
32:4	285	29:20	1:12	7
32:4	294	30:2	1:13	8
32:5	280	28:6	3:12	11
32:9	219	22:9	9:7	11
32:12	295	30:12	1:9	8
32:16	290	29:23	1:11	8
32:21	221	22:3	10:9	9
33:5	202	21:0	11:5	9
33:9	271	27:16	4:22	9
33:14	249	25:5	6:18	9
33:15	297	30:16	2:6	10
34:0	247	25:20	7:9	10
34:6	243	25:2	8:9	10
34:8	136	14:16	18:21	11
34:13	278	28:21	5:8	11
34:13	212	22:13	10:8	10
34:19	226	23:21	10:2	11
34:23	293	30:3	3:14	11
35:1	139	14:2	20:16	9
35:2	296	30:14	4:8	7
35:4	146	15:22	18:9	9
35:6	151	15:16	18:19	9
35:11	222	23:7	11:3	9
35:22	218	22:13	12:16	1
36:6	252	26:5	9:7	1
36:9	237	24:18	10:21	1
36:13	244	25:8	9:23	1
36:20	298	30:3	6:2	10
36:22	260	26:2	9:18	10
37:3	211	21:6	14:13	10
37:10	165	17:15	18:20	10
....................................
....................................
Cargos: 268 [N: 45, S: 91, V: 132]
Cargo Avg Wait: 2:4
Auto-promoted Cargos: 4.34783% from total 69
Trucks: 11 [N: 6, S: 2, V: 3]
Avg Active time: 30.1859% of total time 36:16
Avg utilization: 29.6686%
