CDT	ID	PT	WT	TID
1:23	1	1:11	0:7	3
2:1	8	1:4	0:7	7
2:6	2	1:4	0:11	7
2:7	3	1:8	0:8	3
2:8	11	1:9	0:13	7
2:12	7	1:7	0:13	7
2:14	4	1:1	0:16	7
2:17	9	1:2	0:18	1
2:20	5	1:14	0:18	1
3:2	13	2:5	0:10	2
3:3	6	1:7	0:22	1
3:7	16	2:10	0:10	2
3:11	18	2:8	0:10	2
3:13	10	1:19	1:10	4
3:23	26	3:2	0:13	5
4:5	21	2:20	0:12	5
4:19	35	4:17	0:1	8
4:19	24	3:23	0:14	1
4:21	23	3:21	0:15	6
4:23	41	4:5	0:8	6
4:23	38	4:12	0:8	3
4:23	30	3:18	0:11	1
5:2	15	2:14	1:7	8
5:4	31	3:23	0:10	1
5:7	19	2:18	1:11	8
5:8	32	4:10	0:9	3
5:13	20	2:17	1:18	8
5:17	40	4:2	1:6	2
5:18	37	4:20	0:12	4
5:20	12	2:14	2:3	8
6:1	45	5:2	0:13	4
6:11	43	5:4	0:15	5
6:16	49	5:6	0:23	5
6:18	33	4:14	1:3	9
6:23	50	5:20	0:21	6
7:1	27	3:17	1:18	9
7:7	53	6:10	0:5	9
7:9	51	5:12	1:1	6
7:12	57	6:1	1:7	4
7:12	34	4:19	0:10	9
7:15	61	6:15	0:14	1
7:18	46	5:19	0:10	9
7:18	48	5:21	1:8	3
7:19	58	6:6	1:6	5
7:21	59	6:16	0:18	1
8:1	55	6:8	1:11	4
8:2	44	5:22	0:22	1
8:3	60	6:14	1:9	6
8:13	68	7:7	0:1	7
8:15	56	6:21	1:10	5
8:19	71	7:14	0:5	7
8:23	65	7:15	0:8	7
8:23	63	7:0	1:13	3
9:1	74	8:12	0:7	6
9:5	73	8:0	0:16	6
9:5	66	7:6	1:6	7
9:13	47	5:0	1:22	7
9:16	80	8:4	1:2	8
9:18	78	8:21	0:14	4
9:21	81	8:21	0:8	4
9:21	90	9:4	0:6	8
10:3	79	8:3	0:16	8
10:9	62	7:22	1:17	8
10:12	70	7:23	0:22	8
10:13	85	9:7	0:15	2
10:19	91	9:7	0:23	5
10:20	77	8:11	1:4	2
11:0	96	10:0	0:11	5
11:2	93	10:9	0:11	3
11:5	88	9:15	1:7	1
11:5	82	9:9	0:20	2
11:10	84	9:9	1:5	9
11:10	100	10:1	0:17	3
