CDT	ID	PT	WT	TID
4:5	3	1:6	2:12	11
4:18	5	1:7	2:22	12
4:23	7	1:21	2:15	13
5:1	17	2:8	2:10	14
5:2	20	2:9	2:12	15
5:10	13	2:14	2:15	16
5:22	21	2:22	2:15	17
6:7	24	3:5	2:15	18
6:9	26	3:21	2:9	19
6:20	37	4:3	2:10	20
7:2	33	4:4	2:13	21
7:17	38	4:13	2:16	22
7:21	41	4:14	2:21	23
8:4	40	4:21	2:22	24
8:10	50	5:16	2:15	11
8:16	46	5:1	3:4	25
9:6	53	6:9	2:14	12
9:18	52	6:19	2:19	13
9:19	58	6:16	2:20	14
10:10	69	7:15	2:14	15
10:16	81	8:5	2:8	16
10:19	75	8:6	2:9	17
11:5	80	8:7	2:13	19
12:1	89	9:0	2:13	18
12:8	86	9:4	2:17	20
12:12	83	9:23	2:8	21
13:11	92	10:20	2:10	22
13:22	99	10:22	2:19	24
13:22	94	10:22	2:14	23
14:7	111	11:3	2:20	11
14:22	108	11:7	3:5	25
15:5	110	11:22	2:20	12
15:7	120	12:6	2:17	14
15:13	115	12:22	2:8	13
15:20	125	13:1	2:10	15
16:3	128	13:3	2:15	16
16:14	123	13:9	2:20	17
16:18	127	13:14	2:22	19
16:23	138	14:7	2:11	18
17:21	133	14:18	2:17	20
18:8	135	14:19	3:0	21
18:11	134	14:19	3:10	22
18:15	136	14:22	3:10	24
19:0	151	15:11	3:9	25
19:0	146	15:7	3:9	23
19:16	161	16:1	3:4	11
19:23	154	16:16	2:20	14
20:13	171	17:18	2:15	13
20:14	170	17:16	2:14	12
20:19	178	18:2	2:12	15
21:8	172	18:6	2:16	16
21:14	175	18:18	2:15	17
21:19	180	18:20	2:18	19
22:4	179	18:20	3:0	18
22:14	174	18:22	3:7	20
22:15	188	19:15	2:18	21
23:0	199	20:5	2:11	22
23:18	201	20:14	2:15	24
23:19	200	20:15	2:21	23
24:2	204	21:8	2:13	11
24:5	203	21:0	2:18	25
24:9	202	21:12	2:17	14
24:21	209	21:12	2:22	13
25:4	205	21:15	3:3	12
25:8	207	21:22	3:1	15
25:18	213	22:0	3:10	16
25:22	221	22:8	3:6	17
26:6	215	22:9	3:10	19
26:16	224	23:7	3:1	20
26:16	217	22:21	3:8	18
26:19	231	23:8	3:4	21
26:21	235	24:12	2:7	24
26:21	241	24:2	2:12	22
27:2	232	24:9	2:8	23
28:0	242	25:1	2:12	11
28:8	250	25:3	2:17	25
28:14	243	25:4	3:1	14
29:0	248	25:5	3:7	13
29:3	246	25:19	2:23	12
29:16	255	26:4	3:1	15
30:0	254	26:8	3:5	16
30:4	258	26:14	3:6	17
30:10	264	27:20	2:11	20
30:13	256	26:17	3:12	19
30:14	268	27:20	2:15	18
30:21	275	28:5	2:11	21
31:1	273	28:15	2:8	22
32:23	295	30:11	1:21	24
33:3	296	30:0	2:5	24
33:11	303	31:8	1:13	24
33:14	290	29:15	1:21	24
33:18	299	30:23	1:15	24
33:22	300	30:12	2:0	24
34:4	284	29:17	2:0	24
34:4	305	31:12	2:10	23
34:6	289	29:11	1:23	24
34:10	302	31:13	2:16	25
34:12	283	29:22	2:0	24
34:14	301	30:10	1:21	24
34:22	309	31:22	2:15	11
35:2	318	32:3	2:17	14
35:16	317	32:4	3:1	13
37:7	331	33:22	1:23	12
37:9	343	35:4	1:17	12
37:13	326	33:12	2:6	12
37:15	329	33:16	2:3	12
37:16	336	34:6	2:0	12
37:21	339	34:14	1:21	12
38:1	344	35:0	1:19	12
38:7	342	35:0	1:16	12
38:10	347	35:14	1:15	12
38:12	350	35:17	2:14	15
38:19	335	34:2	2:3	12
39:6	357	36:10	2:12	16
39:12	354	36:14	2:15	17
40:7	369	37:6	2:13	20
40:12	366	37:20	2:11	19
40:20	380	38:10	2:8	18
41:19	384	39:7	2:10	22
41:22	383	39:7	2:8	21
42:11	387	39:15	2:14	23
43:14	401	40:18	2:13	11
43:20	399	40:23	2:17	25
43:22	392	40:18	2:19	14
44:12	404	41:14	2:15	24
45:4	412	42:9	2:10	13
45:9	421	42:20	2:9	15
45:12	420	42:20	2:14	16
45:12	418	42:20	2:12	12
46:3	429	43:8	2:12	17
46:11	427	43:10	2:19	20
46:18	424	43:11	2:22	19
47:3	422	43:15	3:1	18
47:8	439	44:9	2:13	22
47:18	433	44:23	2:11	23
47:18	438	44:16	2:14	21
47:19	449	45:5	2:7	11
48:2	448	45:9	2:9	25
48:14	447	45:16	2:13	14
48:23	445	45:20	2:17	24
49:3	442	45:22	2:20	13
49:14	458	46:7	3:0	16
49:14	452	46:4	3:1	15
49:17	457	46:7	3:5	12
50:1	453	46:10	3:8	17
50:15	466	47:7	2:22	20
51:1	471	47:13	2:23	19
51:4	469	47:13	3:7	18
51:16	464	47:15	3:23	23
51:18	467	47:13	3:16	22
51:21	470	47:15	3:20	21
52:4	480	48:13	3:8	25
52:8	475	48:18	3:11	11
52:19	491	49:1	3:11	24
53:4	497	50:7	2:14	13
53:5	489	49:13	3:5	14
53:16	493	50:12	2:17	15
53:19	508	51:2	2:14	12
53:21	500	50:18	2:19	16
54:9	503	51:22	2:9	20
54:13	521	52:1	2:8	19
54:14	504	51:16	2:13	17
54:22	514	52:4	2:9	18
55:0	516	52:12	2:10	23
55:4	518	52:9	2:11	11
55:19	523	53:6	2:10	21
55:19	530	53:2	2:11	22
56:15	522	53:12	2:17	25
56:16	526	53:13	2:21	14
56:20	533	54:6	2:7	13
57:22	547	55:10	2:3	24
58:3	548	55:4	2:1	24
58:5	544	55:9	1:21	24
58:11	550	55:12	2:7	24
58:16	551	55:9	2:2	24
58:20	555	56:1	2:13	15
59:1	549	55:1	1:20	24
59:5	561	56:6	2:13	12
59:8	554	56:7	2:16	16
59:13	560	56:15	2:16	20
60:0	569	57:11	2:10	19
60:2	563	57:6	2:6	17
60:8	562	57:7	2:11	17
60:18	580	58:4	2:9	18
61:10	572	58:7	2:14	23
61:17	577	58:8	2:21	11
61:23	581	58:10	3:3	22
62:3	576	58:17	3:0	21
62:6	587	59:3	2:20	25
62:19	589	59:3	3:8	14
62:21	590	59:11	3:3	13
63:3	600	60:12	2:10	15
63:9	598	60:16	2:13	24
63:17	601	60:16	2:19	12
64:2	592	60:18	2:22	16
64:17	604	61:2	3:3	20
64:18	603	61:20	2:13	19
65:1	609	61:23	2:16	17
65:8	617	62:0	2:22	18
65:12	615	62:14	2:15	23
65:19	629	63:4	2:9	22
66:16	632	64:2	2:3	21
67:0	622	63:22	1:23	21
67:1	627	63:21	1:18	21
67:3	638	64:4	2:15	25
67:10	636	64:3	2:9	21
68:11	645	65:15	2:6	11
68:18	650	65:7	2:4	11
68:19	649	65:12	2:3	11
68:20	654	66:4	2:9	24
68:21	651	65:1	1:21	11
69:0	655	66:9	2:11	14
69:6	647	65:2	2:3	11
69:11	646	65:21	2:8	11
69:13	641	64:17	2:4	11
69:17	653	66:19	2:14	15
69:18	648	65:11	2:3	11
69:18	657	66:16	2:14	13
69:22	668	67:3	2:11	12
70:18	666	67:12	2:17	16
70:21	675	68:5	2:9	19
70:22	664	67:13	2:22	20
71:9	681	68:5	2:16	17
71:13	678	68:10	2:19	18
71:20	686	69:0	2:12	23
72:7	689	69:11	2:12	22
73:0	694	70:13	2:7	21
73:2	695	70:14	2:9	14
73:2	687	69:23	2:14	25
73:21	706	71:7	2:7	24
74:7	708	71:21	2:1	15
74:13	709	71:16	2:5	15
74:16	720	72:5	2:8	13
74:21	712	72:5	2:12	11
74:22	711	71:22	2:7	15
75:10	721	72:13	2:6	12
75:17	714	72:22	2:13	16
75:18	715	72:17	2:12	12
76:11	726	73:18	2:11	20
76:15	724	73:16	2:3	20
76:19	727	73:13	2:3	20
77:5	737	74:14	2:3	19
77:8	739	74:16	2:14	17
77:11	735	74:16	2:7	19
77:16	740	74:13	2:0	19
77:19	732	74:12	1:21	19
77:20	744	75:0	2:11	18
78:2	745	75:1	2:17	23
78:12	749	75:12	2:19	21
78:15	742	75:5	3:0	22
79:8	753	76:8	2:14	25
81:10	776	78:20	2:12	24
81:12	773	78:19	2:10	14
81:17	772	78:14	2:3	14
81:20	771	77:12	1:17	14
82:1	789	79:4	2:11	13
82:3	781	78:12	2:1	14
82:11	766	77:15	1:23	14
82:16	791	79:18	2:16	11
82:18	763	77:21	1:23	14
82:20	780	78:7	2:0	14
83:0	770	77:15	1:16	14
83:2	787	79:21	2:20	15
83:8	778	78:4	2:1	14
83:10	800	80:11	2:12	16
83:16	796	80:14	2:17	12
84:10	811	81:7	2:14	20
84:13	803	81:13	2:16	17
84:18	807	81:19	2:15	19
85:7	804	81:22	2:20	18
85:11	815	82:17	2:15	23
86:1	829	83:0	2:14	21
86:3	823	83:8	2:11	22
86:11	830	83:20	2:12	25
86:19	834	84:6	2:8	24
87:14	832	84:21	2:12	13
87:18	836	84:23	2:14	11
87:23	848	85:1	2:17	15
88:3	847	85:8	2:13	14
88:5	846	85:13	2:10	16
88:5	612	62:20	0:16	26
88:6	719	72:17	0:1	26
88:9	27	3:1	37:13	26
88:11	841	84:10	0:2	26
88:17	459	46:10	27:9	26
88:21	567	57:17	0:5	26
88:23	855	86:12	2:7	12
89:1	858	86:13	2:9	20
89:4	218	22:10	26:8	26
89:10	164	17:8	31:21	26
89:16	432	44:17	9:12	26
89:17	869	87:3	2:9	17
89:18	864	87:13	0:2	26
90:0	676	68:12	0:6	26
90:4	863	87:10	2:13	18
90:5	274	28:21	14:13	26
90:6	862	87:4	2:15	19
90:9	270	27:17	16:4	26
90:10	871	87:13	2:17	23
90:14	272	28:20	32:9	26
90:15	878	88:3	2:9	22
90:15	870	87:16	2:16	21
90:20	35	4:15	36:14	26
91:2	511	51:23	6:23	26
91:5	455	46:12	27:23	26
91:6	67	7:4	34:6	26
91:12	507	51:11	3:8	26
91:13	385	39:11	5:8	26
91:20	810	81:4	4:16	26
91:21	60	6:1	34:17	26
92:3	631	63:9	22:20	26
92:8	886	89:17	1:15	25
92:9	2	1:11	39:0	26
92:13	888	89:10	1:11	25
92:14	764	77:22	0:7	26
92:15	873	88:14	2:0	25
92:19	372	38:23	8:23	26
92:21	142	15:4	30:3	26
92:21	899	90:0	1:16	25
93:0	890	89:13	1:16	25
93:1	325	33:7	35:16	26
93:4	269	27:20	16:13	26
93:5	626	63:3	0:2	26
93:5	894	90:4	2:1	25
93:10	9	1:1	39:22	26
93:11	892	90:1	1:21	25
93:13	54	6:11	34:6	26
93:14	885	89:22	1:12	25
93:15	502	51:22	12:15	26
93:17	872	88:15	2:0	25
93:19	901	90:4	2:5	24
93:20	889	89:5	1:12	25
93:21	276	28:19	23:16	26
94:1	671	67:11	2:18	26
94:2	14	2:9	69:21	26
94:3	642	65:13	7:0	26
94:3	911	91:16	1:13	24
94:5	897	90:19	1:17	24
94:8	124	13:20	33:14	26
94:9	593	60:18	0:1	26
94:10	359	36:18	23:12	26
94:11	280	28:4	17:10	26
94:11	893	90:20	1:22	24
94:18	113	12:19	28:22	26
94:20	915	92:5	1:11	24
94:22	900	90:8	2:2	24
94:22	583	59:3	1:7	26
94:23	896	90:12	1:23	24
95:2	906	91:1	1:19	24
95:3	210	21:3	27:8	26
95:5	902	91:8	1:14	24
95:9	909	91:19	1:14	24
95:9	623	63:6	23:7	26
95:10	91	9:4	36:16	26
95:11	913	92:9	2:14	13
95:13	233	24:6	21:11	26
95:16	208	21:6	32:8	26
95:16	914	92:21	2:14	15
95:19	193	20:14	61:15	26
95:19	921	92:12	2:21	11
95:20	100	10:17	41:23	26
96:0	929	93:8	2:7	14
96:3	253	26:5	21:12	26
96:6	923	93:9	2:13	16
96:9	97	10:19	34:10	26
96:15	926	93:20	2:12	12
96:16	935	94:4	2:9	20
96:16	786	79:11	0:7	26
96:21	31	3:18	44:11	26
97:1	434	44:2	2:7	26
97:2	245	25:16	18:14	26
97:3	938	94:8	2:10	17
97:8	579	58:4	8:13	26
97:12	941	94:18	2:12	18
97:14	10	1:16	40:19	26
97:19	820	82:7	0:5	26
98:0	15	2:13	39:9	26
98:3	660	66:6	11:6	26
98:4	949	95:4	2:13	19
98:9	564	57:12	0:6	26
98:10	85	9:9	55:5	26
98:15	683	69:14	0:8	26
98:16	950	95:7	2:22	23
98:17	947	95:12	3:2	21
98:19	951	95:8	3:3	22
98:22	98	10:22	44:14	26
99:4	196	20:23	31:6	26
99:8	8	1:1	40:8	26
99:8	953	96:6	2:15	25
99:10	34	4:16	68:0	26
99:10	956	96:15	2:14	24
99:15	426	43:14	39:15	26
99:21	132	14:9	43:2	26
100:0	228	23:7	21:11	26
100:3	122	13:6	29:8	26
100:6	278	28:11	17:2	26
100:6	971	97:11	2:7	13
100:10	288	29:2	47:15	26
100:13	417	42:2	18:3	26
100:14	51	5:17	36:12	26
100:21	338	34:20	52:10	26
100:21	974	98:3	2:2	15
100:22	758	76:20	0:2	26
100:23	978	98:11	2:9	14
101:2	981	98:11	2:7	11
101:3	980	98:14	2:8	16
101:5	239	24:6	32:13	26
101:8	977	98:4	2:8	15
101:10	565	57:22	29:13	26
101:17	137	14:16	34:22	26
101:19	118	12:19	36:12	26
101:20	982	99:0	2:5	20
101:21	163	17:22	32:18	26
102:0	237	24:8	50:0	26
102:2	989	99:5	2:4	20
102:4	376	38:14	36:5	26
102:7	987	99:14	2:6	12
102:10	515	52:4	20:1	26
102:11	985	99:9	2:7	20
102:13	101	10:4	36:8	26
102:13	983	99:17	2:12	12
102:14	11	1:3	40:20	26
102:16	984	99:13	2:5	12
102:18	198	20:14	36:9	26
102:23	147	15:13	28:16	26
103:2	825	83:10	2:3	26
103:2	995	100:3	2:12	17
103:4	999	100:8	2:14	18
103:6	114	12:2	32:13	26
103:10	553	56:3	25:6	26
103:10	1000	100:14	2:15	19
103:16	314	32:19	31:10	26
103:17	994	100:17	2:18	23
103:22	396	40:3	16:2	26
103:23	1007	101:12	2:9	21
104:2	381	38:14	33:22	26
104:4	219	22:7	49:12	26
104:6	334	34:22	16:16	26
104:7	25	3:9	44:21	26
104:10	1004	101:15	2:17	25
104:10	1003	101:15	2:14	22
104:14	1010	101:15	2:19	24
104:14	55	6:14	36:15	26
104:20	408	41:9	16:20	26
104:23	187	19:3	26:7	26
105:0	718	72:7	0:1	26
105:1	1019	102:12	2:8	14
105:1	1012	102:1	2:15	13
105:7	117	12:14	40:15	26
105:11	177	18:15	31:5	26
105:18	76	8:2	39:3	26
105:19	1031	103:4	2:10	11
105:23	323	33:2	17:3	26
106:1	750	75:4	5:9	26
106:2	395	40:16	28:3	26
106:3	368	37:4	25:2	26
106:8	313	32:7	22:3	26
106:9	341	34:12	47:11	26
106:14	22	3:16	39:3	26
106:21	271	27:1	24:4	26
106:23	173	18:1	46:15	26
107:0	267	27:22	25:8	26
107:2	152	16:16	41:15	26
107:4	1035	104:9	2:12	16
107:9	379	38:6	16:23	26
107:11	66	7:14	38:5	26
107:12	1039	104:22	2:12	12
107:12	1040	104:15	2:17	20
107:15	1041	104:14	2:15	15
107:18	1036	104:23	2:14	17
107:18	148	15:18	38:3	26
108:1	775	78:8	0:7	26
108:5	1051	105:12	2:11	18
108:8	63	7:7	36:10	26
108:11	1056	106:2	2:8	23
108:13	757	76:2	0:5	26
108:13	1049	105:21	2:11	19
108:19	747	75:2	0:6	26
108:23	65	7:10	58:6	26
109:1	398	40:6	37:1	26
109:4	476	48:17	10:12	26
109:5	1053	106:6	2:14	21
109:7	391	39:20	41:21	26
109:9	456	46:12	19:9	26
109:15	486	49:8	24:5	26
109:21	265	27:11	44:0	26
109:23	247	25:8	33:23	26
110:0	226	23:22	33:7	26
110:0	1071	107:4	2:13	22
110:2	144	15:4	46:6	26
110:3	388	39:4	30:9	26
110:8	44	5:8	50:13	26
110:15	460	46:15	18:8	26
110:22	106	11:10	50:19	26
111:2	812	82:17	0:21	26
111:4	42	5:10	39:1	26
111:5	394	40:17	15:5	26
111:10	468	47:7	17:3	26
111:12	674	68:2	2:5	26
111:16	443	45:20	30:18	26
111:19	4	1:20	84:3	26
111:21	1085	109:4	2:1	13
112:0	72	8:9	42:1	26
112:1	249	25:14	34:9	26
112:2	1077	108:11	2:3	13
112:5	1075	108:19	1:21	13
112:7	367	37:7	42:22	26
112:9	102	11:9	38:7	26
112:12	1091	109:4	2:8	13
112:14	479	48:20	32:18	26
112:15	1086	109:15	2:14	14
112:17	263	27:21	26:16	26
112:17	1082	109:19	2:14	25
112:18	260	26:6	35:5	26
112:18	1076	108:5	2:0	13
112:20	1090	109:22	2:16	24
112:23	688	69:6	14:4	26
113:0	259	26:15	26:2	26
113:1	1093	110:6	2:13	11
113:1	1084	109:4	1:18	13
113:5	61	6:4	78:13	26
113:7	1080	108:5	2:5	13
113:12	36	4:3	42:2	26
113:18	499	50:8	30:3	26
113:18	1100	110:14	2:15	16
113:21	403	41:9	18:6	26
113:22	1096	110:15	2:20	20
114:2	619	62:11	8:1	26
114:4	1104	111:5	2:13	12
114:5	537	54:7	9:14	26
114:7	262	27:12	45:19	26
114:9	1102	111:18	2:11	15
114:11	679	68:23	3:0	26
114:11	1106	111:19	2:12	17
114:18	107	11:9	45:3	26
114:22	1116	112:0	2:18	23
115:0	1114	112:0	2:15	18
115:1	416	42:21	39:22	26
115:2	345	35:14	41:19	26
115:8	104	11:15	35:7	26
115:9	158	16:3	49:19	26
115:10	557	56:19	12:19	26
115:16	109	11:14	49:2	26
115:22	149	15:15	52:20	26
116:5	88	9:17	50:5	26
116:7	838	84:4	2:3	26
116:12	143	15:9	51:14	26
116:13	293	30:12	31:21	26
116:20	733	74:13	13:9	26
117:1	192	20:20	63:9	26
117:2	1124	113:7	2:5	19
117:6	77	8:0	43:19	26
117:7	1139	114:20	1:23	19
117:8	402	41:19	42:4	26
117:13	1125	113:21	1:20	19
117:14	1138	114:21	2:8	21
117:15	234	24:12	51:8	26
117:18	116	12:3	57:9	26
117:18	1137	114:15	1:23	19
117:20	1131	113:5	2:0	19
117:21	1112	112:23	1:23	19
117:21	1144	115:6	2:8	22
118:0	1118	112:19	2:2	19
118:0	220	22:2	36:11	26
118:0	1151	115:10	2:7	14
118:1	1149	115:5	2:4	22
118:4	45	5:22	44:16	26
118:4	1123	113:23	1:22	19
118:4	1146	115:13	2:8	25
118:9	1142	115:14	2:15	24
118:10	1135	114:10	1:19	19
118:11	257	26:19	40:17	26
118:13	795	80:19	6:4	26
118:14	481	48:12	28:20	26
118:14	1132	114:12	1:21	19
118:21	406	41:6	24:6	26
119:3	1155	116:15	2:3	13
119:3	297	30:7	33:11	26
119:3	1152	116:4	2:9	11
119:7	1158	116:15	2:5	13
119:9	352	36:1	32:4	26
119:10	1160	116:15	2:7	13
119:15	227	23:8	57:11	26
119:21	490	49:4	17:7	26
120:3	23	3:15	59:0	26
120:5	212	22:10	39:22	26
120:9	6	1:11	45:5	26
120:12	1171	117:5	2:0	16
120:14	703	71:10	10:12	26
120:16	1168	117:14	1:21	16
120:18	1167	117:18	1:19	16
120:18	251	25:21	52:0	26
120:19	371	37:7	35:7	26
120:22	70	7:10	57:19	26
121:2	1162	117:23	2:6	16
121:4	160	16:16	45:1	26
121:4	1180	118:11	2:10	20
121:9	1169	117:23	1:20	16
121:10	1174	118:14	2:15	12
121:10	474	48:4	30:17	26
121:15	444	45:6	28:23	26
121:16	1178	118:1	2:9	16
121:16	1176	118:19	2:14	15
121:18	1165	117:7	2:0	16
121:19	153	16:7	36:8	26
121:19	1173	118:22	2:13	17
121:22	1190	119:5	2:10	23
122:1	168	17:22	51:7	26
122:2	225	23:7	38:1	26
122:3	214	22:9	42:2	26
122:8	1186	119:8	2:14	18
122:9	30	3:19	47:3	26
122:11	1188	119:17	2:13	21
122:14	319	32:19	36:14	26
122:15	473	48:5	25:0	26
122:22	759	76:1	9:4	26
123:2	501	50:19	25:16	26
123:6	1195	120:10	2:12	22
123:7	71	7:5	46:6	26
123:12	633	64:0	13:17	26
123:12	1199	120:21	2:8	25
123:15	639	64:12	11:11	26
123:18	176	18:8	40:8	26
123:20	1210	121:4	2:9	24
123:23	1	1:19	57:17	26
124:6	84	9:9	61:10	26
124:7	1207	121:5	2:14	19
124:9	1209	121:12	2:11	14
124:11	658	66:2	11:3	26
124:17	540	54:1	17:16	26
124:21	1215	122:2	2:14	20
124:21	1205	121:22	2:16	13
124:21	1211	121:15	2:19	11
124:23	261	26:10	39:19	26
125:0	1221	122:7	2:12	12
125:6	353	36:23	30:20	26
125:7	126	13:8	53:21	26
125:10	286	29:13	36:6	26
125:17	62	7:4	44:8	26
125:17	1213	122:17	2:15	15
125:21	1214	122:18	2:19	16
125:22	47	5:9	70:4	26
126:2	324	33:5	41:10	26
126:4	12	2:0	59:7	26
126:5	1228	123:4	2:17	17
126:11	150	15:1	68:20	26
126:17	535	54:5	32:14	26
126:23	488	49:6	21:23	26
127:3	32	4:23	50:17	26
127:5	1232	124:12	2:10	23
127:10	659	66:1	13:4	26
127:15	169	17:12	63:17	26
127:20	28	3:21	69:2	26
127:21	82	9:10	57:8	26
127:23	661	66:11	20:10	26
128:15	1244	125:15	2:14	18
128:18	1243	125:21	2:13	21
129:17	1257	126:11	2:18	22
129:19	1260	126:11	2:23	25
129:23	1271	127:2	2:13	14
130:2	1263	127:13	2:10	20
130:3	1267	127:3	2:18	24
130:15	1268	127:19	2:12	11
131:0	1281	128:4	2:13	19
131:4	1269	127:21	2:18	13
131:17	1273	128:17	2:15	12
132:4	1274	128:18	2:22	15
132:15	1295	130:2	2:9	17
132:18	1287	129:19	2:13	16
133:4	1301	130:12	2:8	23
133:13	1297	130:13	2:18	21
133:16	1293	130:13	2:16	18
134:4	1292	130:19	2:20	22
134:9	1304	131:23	2:8	14
134:11	1302	131:8	2:15	25
134:18	1309	131:23	2:13	20
134:23	1315	132:0	2:17	24
135:14	1319	132:3	3:2	11
135:15	1321	132:16	2:18	19
135:23	1329	133:4	2:11	13
137:19	1337	134:14	1:15	12
138:0	1348	135:8	2:5	12
138:6	1333	134:23	2:6	12
138:8	1350	135:4	2:3	12
138:9	1351	135:4	2:4	12
138:14	1324	133:22	2:0	12
138:17	1323	133:15	2:4	12
139:0	1357	136:0	2:16	17
139:0	1342	135:22	2:13	15
139:1	1335	134:19	1:17	12
139:4	1341	134:20	1:19	12
139:9	1336	134:20	1:23	12
139:15	1353	136:20	2:9	16
139:19	1363	137:3	2:10	23
140:2	1369	137:7	2:11	21
140:5	1370	137:8	2:13	18
140:10	1044	105:1	2:9	27
140:11	1017	102:14	2:1	27
140:15	1367	137:20	2:13	22
140:16	1372	138:14	0:5	27
140:18	1365	137:23	2:14	25
140:23	534	54:19	52:1	27
141:0	1378	138:8	2:10	24
141:3	1330	133:4	2:5	27
141:3	1381	138:11	2:10	14
141:6	1048	105:16	2:3	27
141:7	1376	138:16	2:13	20
141:13	1095	110:0	26:12	27
141:19	1066	107:4	17:12	27
141:20	1163	117:8	2:3	27
141:21	961	96:0	25:6	27
141:22	1245	125:2	0:3	27
141:23	1375	138:19	2:16	19
142:2	1275	128:14	0:19	27
142:5	1166	117:21	0:8	27
142:7	1388	139:10	2:12	11
142:9	1300	130:12	0:4	27
142:12	992	100:20	2:3	27
142:16	976	98:14	0:4	27
142:16	1401	140:2	2:10	15
142:21	1148	115:11	2:5	27
142:21	1391	139:22	2:12	13
143:1	1103	111:21	24:8	27
143:7	1279	128:16	0:13	27
143:7	1396	140:5	2:14	17
143:11	1088	109:12	15:21	27
143:16	986	99:10	2:6	27
143:17	1410	141:0	2:9	16
143:19	1399	140:18	2:11	12
143:22	962	97:5	2:6	27
143:23	725	73:22	28:0	27
144:3	946	95:5	0:4	27
144:4	845	85:22	7:7	27
144:8	1016	102:0	0:5	27
144:11	1184	119:19	0:3	27
144:15	1411	141:10	2:5	23
144:17	730	73:1	33:4	27
144:20	917	92:2	0:5	27
144:20	1407	141:11	2:6	23
144:21	281	28:18	82:19	27
145:0	1327	133:11	0:3	27
145:0	1418	142:1	2:6	23
145:3	1408	141:16	2:3	23
145:5	1081	108:22	2:7	27
145:8	1101	110:5	29:13	27
145:8	1406	141:23	2:6	23
145:9	1252	126:20	2:1	27
145:10	790	79:22	42:8	27
145:11	1412	142:20	2:9	21
145:12	1420	142:3	2:7	23
145:14	1419	142:14	2:3	21
145:17	327	33:18	90:2	27
145:20	860	86:23	2:6	27
145:22	1431	143:6	2:11	18
145:23	1414	142:10	2:6	21
146:2	916	92:18	4:23	27
146:2	1425	143:9	2:11	14
146:3	1415	142:19	2:4	21
146:5	1421	142:15	2:4	21
146:8	1310	131:14	0:7	27
146:12	1428	143:14	2:15	22
146:15	942	95:22	19:7	27
146:16	990	99:15	22:2	27
146:20	1424	143:15	2:20	20
146:22	1182	119:21	0:8	27
147:0	1225	123:18	2:3	27
147:3	1018	102:8	32:0	27
147:6	1299	130:21	0:8	27
147:8	1437	144:19	2:12	24
147:12	1234	124:4	0:6	27
147:15	785	79:2	33:12	27
147:15	1439	144:10	2:19	25
147:19	1109	111:13	2:20	27
147:20	1015	102:15	0:1	27
148:1	1087	109:23	0:6	27
148:2	693	70:6	52:7	27
148:6	1444	145:5	2:14	11
148:8	346	35:2	85:13	27
148:9	809	81:4	20:19	27
148:10	998	100:21	15:16	27
148:14	1383	139:7	0:4	27
148:15	1083	109:14	0:8	27
148:15	1449	145:16	2:17	15
148:17	1446	145:13	2:16	19
148:19	1238	124:18	0:4	27
149:1	1089	109:15	0:6	27
149:2	932	94:9	0:1	27
149:2	1450	145:17	2:22	13
149:4	1115	112:11	7:5	27
149:8	1460	146:11	2:12	17
149:10	1170	117:20	0:15	27
149:12	463	47:18	68:0	27
149:13	1456	146:13	2:20	16
149:14	944	95:15	12:14	27
149:15	1298	130:9	2:1	27
149:16	1023	103:17	0:1	27
149:18	1453	146:19	2:17	12
149:19	761	76:8	21:12	27
149:22	1246	125:16	0:3	27
150:0	1466	147:9	2:10	23
150:5	817	82:4	26:8	27
150:6	483	49:10	40:7	27
150:13	186	19:9	76:20	27
150:15	1472	148:6	2:8	21
150:15	236	24:5	67:10	27
150:16	1469	147:11	2:18	18
150:17	1463	147:22	2:11	14
150:21	1128	113:15	0:6	27
150:22	1476	148:7	2:9	22
151:1	1475	148:12	2:8	20
151:3	1061	106:23	0:6	27
151:10	279	28:20	62:17	27
151:17	967	97:21	2:8	27
151:18	1474	148:21	2:12	24
151:20	375	38:9	52:10	27
152:0	1362	137:21	2:8	27
152:2	1288	129:21	9:18	27
152:4	1006	101:19	14:10	27
152:7	1285	129:12	0:3	27
152:14	630	63:17	28:21	27
152:19	729	73:1	26:19	27
152:22	746	75:15	46:18	27
152:23	1499	150:1	2:12	25
153:3	311	31:14	88:20	27
153:3	1492	150:4	2:14	11
153:5	857	86:23	36:12	27
153:6	881	88:0	3:19	27
153:8	945	95:11	0:2	27
153:12	1501	150:18	2:13	19
153:13	618	62:1	26:4	27
153:17	1493	150:8	2:21	15
153:19	606	61:0	41:11	27
153:21	405	41:23	59:6	27
154:3	48	5:13	92:22	27
154:8	1509	151:9	2:12	13
154:10	996	100:11	5:12	27
154:13	362	37:7	70:15	27
154:15	1117	112:1	0:4	27
